0,1,2,3,4,5,6,7,8,month
8:00p,Denver Nuggets,103,Memphis Grizzlies,102,Box Score,,"2,160",,March
8:00p,Cleveland Cavaliers,82,New Orleans Pelicans,116,Box Score,,"3,700",,March
8:00p,Philadelphia 76ers,127,Washington Wizards,101,Box Score,,0,,March
9:00p,Miami Heat,101,Chicago Bulls,90,Box Score,,0,,March
9:00p,Orlando Magic,77,San Antonio Spurs,104,Box Score,,"3,241",,March
,,,,,,,,,March
10:00p,Houston Rockets,99,Utah Jazz,114,Box Score,,"5,546",,March
10:30p,Indiana Pacers,100,Los Angeles Lakers,105,Box Score,,0,,March
2:00p,New York Knicks,119,Oklahoma City Thunder,97,Box Score,,0,,March
7:00p,Detroit Pistons,95,Brooklyn Nets,100,Box Score,,"1,364",,March
7:00p,Toronto Raptors,104,Charlotte Hornets,114,Box Score,,"2,861",,March
7:00p,Milwaukee Bucks,125,Washington Wizards,119,Box Score,,0,,March
7:30p,Sacramento Kings,106,Atlanta Hawks,121,Box Score,,"2,347",,March
8:00p,Portland Trail Blazers,125,Minnesota Timberwolves,121,Box Score,,0,,March
10:00p,Dallas Mavericks,116,Denver Nuggets,103,Box Score,,0,,March
10:00p,Indiana Pacers,122,Phoenix Suns,111,Box Score,,"3,166",,March
2:00p,Memphis Grizzlies,122,Oklahoma City Thunder,128,Box Score,,0,,March
4:00p,Utah Jazz,119,Golden State Warriors,131,Box Score,,0,,March
6:30p,San Antonio Spurs,99,Philadelphia 76ers,134,Box Score,,"3,071",,March
7:00p,Miami Heat,102,Orlando Magic,97,Box Score,,"3,264",,March
7:30p,Cleveland Cavaliers,82,Atlanta Hawks,100,Box Score,,"2,322",,March
8:00p,Boston Celtics,134,Houston Rockets,107,Box Score,,"3,264",,March
8:00p,Portland Trail Blazers,112,Minnesota Timberwolves,114,Box Score,,0,,March
9:00p,Toronto Raptors,95,Chicago Bulls,118,Box Score,,0,,March
9:00p,Los Angeles Clippers,115,New Orleans Pelicans,135,Box Score,,"3,700",,March
7:00p,Sacramento Kings,116,Charlotte Hornets,122,Box Score,,"2,861",,March
7:00p,Milwaukee Bucks,133,Washington Wizards,122,Box Score,,0,,March
8:00p,New York Knicks,112,Brooklyn Nets,117,Box Score,,"1,637",,March
8:00p,San Antonio Spurs,109,Detroit Pistons,99,Box Score,,0,,March
9:00p,Los Angeles Clippers,109,Dallas Mavericks,99,Box Score,,"3,945",,March
10:00p,Indiana Pacers,106,Denver Nuggets,121,Box Score,,0,,March
,,,,,,,,,March
10:00p,Memphis Grizzlies,99,Phoenix Suns,122,Box Score,,"3,188",,March
10:30p,Los Angeles Lakers,128,Golden State Warriors,97,Box Score,,0,,March
7:30p,Utah Jazz,117,Boston Celtics,109,Box Score,,0,,March
8:00p,Oklahoma City Thunder,102,Chicago Bulls,123,Box Score,,0,,March
8:00p,Atlanta Hawks,119,Houston Rockets,107,Box Score,,"3,069",,March
8:00p,Cleveland Cavaliers,98,Miami Heat,113,Box Score,,0,,March
8:00p,New York Knicks,96,Philadelphia 76ers,99,Box Score,,"3,071",,March
10:00p,New Orleans Pelicans,124,Portland Trail Blazers,125,Box Score,,0,,March
